Flight No.,Date and time (UTC),Version Booster,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Booster landing,Date,Time
103,2020-12-19 14:00:00,F9 B5 ♺,KSC,NROL-108,7233.227272727273,LEO,NRO,Success,Success,19 December 2020,14:00:00
104,2021-01-08 02:15:00,F9 B5,CCSFS,Türksat 5A,3500.0,GTO,Türksat,Success,Success,8 January 2021,02:15
105,2021-01-20 13:02:00,F9 B5B1051.8609,KSC,Starlink,15600.0,LEO,SpaceX,Success,Success,20 January 2021,13:02
106,2021-01-24 15:00:00,F9 B5B1058.5613,CCSFS,Transporter-1,7233.227272727273,SSO,Various,Success,Success,24 January 2021,15:00
107,2021-02-04 06:19:00,F9 B5 ♺[,CCSFS,Starlink,15600.0,LEO,SpaceX,Success,Success,4 February 2021,06:19
108,2021-02-16 03:59:37,F9 B5 ♺,CCSFS,Starlink,15600.0,LEO,SpaceX,Success,Failure,16 February 2021,03:59:37
109,2021-03-04 08:24:00,F9 B5 ♺[,KSC,Starlink,15600.0,LEO,SpaceX,Success,Success,4 March 2021,08:24
110,2021-03-11 08:13:29,F9 B5 ♺[,CCSFS,Starlink,15600.0,LEO,SpaceX,Success,Success,11 March 2021,08:13:29
111,2021-03-14 10:01:00,F9 B5 ♺,KSC,Starlink,15600.0,LEO,SpaceX,Success,Success,14 March 2021,10:01
112,2021-03-24 08:28:00,F9 B5B1060.6643,CCSFS,Starlink,15600.0,LEO,SpaceX,Success,Success,24 March 2021,08:28
113,2021-04-07 16:34:00,F9 B5 ♺,CCSFS,Starlink,15600.0,LEO,SpaceX,Success,Success,7 April 2021,16:34
114,2021-04-23 09:49:00,F9 B5B1061.2647,KSC,Crew-2,7233.227272727273,LEO,NASA,Success,Success,23 April 2021,9:49
115,2021-04-29 03:44:00,F9 B5B1060.7652,CCSFS,Starlink,15600.0,LEO,SpaceX,Success,Success,29 April 2021,03:44
116,2021-05-04 19:01:00,F9 B5B1049.9655,KSC,Starlink,15600.0,LEO,SpaceX,Success,Success,4 May 2021,19:01
117,2021-05-09 06:42:00,F9 B5B1051.10657,CCSFS,Starlink,15600.0,LEO,SpaceX,Success,Success,9 May 2021,06:42
118,2021-05-15 22:56:00,F9 B5B1058.8660,KSC,Starlink,7233.227272727273,LEO,SpaceX,Success,Success,15 May 2021,22:56
119,2021-05-26 18:59:00,F9 B5B1063.2665,CCSFS,Starlink,15600.0,LEO,SpaceX,Success,Success,26 May 2021,18:59
120,2021-06-03 17:29:00,F9 B5B1067.1668,KSC,SpaceX CRS-22,3328.0,LEO,NASA,Success,Success,3 June 2021,17:29
121,2021-06-06 04:26:00,F9 B5,CCSFS,SXM-8,7000.0,GTO,Sirius XM,Success,Success,6 June 2021,04:26
